Index,Questions
1,What about me surprised you?
2,Based on what you know about me; do you have a Netflix recommendation?
3,What do you think my superpower is?
4,What do you think our most important similarities are?
5,What do you think is one thing I could do that would drastically improve my life?
6,What would be the perfect gift for me?
7,How would you describe me to a stranger?
8,What do I need to hear right now?
9,Based on what you’ve learned about me; does my social media portray me accurately?
10,What is a lesson you will take away from our conversation?
11,What can I help you with?
12,What do you think I fear the most?
13,Where am I most qualified to give advice about?
14,What about me is the hardest for you to understand?
15,If we were a band; what would be our name?
16,Admit something.
17,What parts of yourself do you see in me?
18,How does one earn your vulnerability?
19,Dare your partner to do something out of their comfort zone next week.
20,What do you recommend I should let go of?
21,What has this conversation taught you about yourself?
22,What do you think my defining characteristic is?
23,What question were you most afraid to answer?
24,Why do you think we met?
25,When this game is over; what will be something you will remember about me?
26,What do you think my weakness is?
27,How do our personalities complement each other?
28,What do you think I should know about myself that perhaps I’m unaware of?
29,What would make you feel closer to me?
30,What do you admire most about me?
31,In one word; describe how you feel right now.
32,Do you believe everyone has a calling? If so; do you think I’ve found mine?
33,What can we create together?
34,What answer of mine made you light up?
35,What’s the most attractive quality about me that isn’t physical?
36,What is the worst assumption someone has made about you?
37,What was your first impression of me?
38,How did you get over your first love?
39,What’s your goal for 2020 and why?
40,Are you lying to yourself about anything?
41,What’s your favorite part of yourself that isn’t something physical?
42,What is something you’ve learned about yourself this week?
43,What belief about yourself no longer serves you?
44,What do you need to forgive yourself for?
45,Who do I remind you of?
46,Admit something.
47,How do you know you’re in love?
48,How do you know you’re afraid of something?
49,What do you need to forgive yourself for?
50,Why is it so difficult for us to be vulnerable?
51,Who in your life do you feel you can be most vulnerable with?
52,Is there anyone who’s changed your life but doesn’t know it?
53,Is there a certain feeling that you miss?
54,When was the last time you used your pain to help someone else?
55,When was the last time you felt the most yourself?
56,Are you proud of who you have become?
57,Are you the person you thought you would become? Why or why not?
